Date,Open,High,Low,Close,Adj Close,Volume
2016-03-07,28.090000,29.400000,25.620001,27.219999,24.977627,32905900
2016-03-14,27.030001,28.400000,24.700001,27.420000,25.467411,23784900
2016-03-21,27.320000,27.709999,24.840000,25.639999,23.814165,14465200
2016-03-28,25.770000,26.790001,24.459999,25.650000,23.823454,15318800
2016-04-04,25.580000,25.709999,23.400000,24.770000,23.006119,21476300
2016-04-11,25.510000,29.219999,25.469999,28.910000,26.851311,24258600
2016-04-18,28.830000,32.990002,28.740000,31.820000,29.554085,30526800
2016-04-25,30.990000,31.920000,30.020000,31.340000,29.108269,21801900
2016-05-02,31.660000,31.670000,27.240000,27.930000,25.941093,26954900
2016-05-09,26.850000,27.850000,25.990000,26.600000,24.705805,21881900
2016-05-16,27.430000,28.740000,26.459999,26.840000,24.928713,22770200
2016-05-23,26.400000,28.980000,26.280001,27.500000,25.541716,22024700
2016-05-30,27.160000,27.870001,26.010000,27.809999,25.829639,16434600
2016-06-06,28.530001,29.920000,26.620001,26.730000,24.826546,29425400
2016-06-13,26.559999,27.860001,25.809999,27.709999,25.736759,28543800
2016-06-20,28.290001,29.450001,26.740000,27.230000,25.290939,31912500
2016-06-27,26.330000,28.700001,25.750000,28.620001,26.581959,30900900
2016-07-04,28.530001,29.360001,27.450001,29.340000,27.250687,22632200
2016-07-11,29.500000,31.639999,29.500000,30.500000,28.328083,19778800
2016-07-18,30.209999,30.270000,27.830000,28.549999,26.516943,23497700
2016-07-25,28.700001,30.190001,28.020000,29.690001,27.575764,16775300
2016-08-01,29.889999,31.080000,28.770000,31.020000,28.811054,18975100
2016-08-08,31.370001,31.790001,30.820000,30.969999,28.764614,13307900
2016-08-15,31.010000,32.660000,30.940001,31.940001,29.665543,16606900
2016-08-22,31.280001,33.619999,31.120001,32.090000,29.804859,18322100
2016-08-29,31.770000,32.360001,29.740000,30.620001,28.439539,20252000
2016-09-05,31.000000,31.750000,30.620001,30.740000,28.807135,12299000
2016-09-12,29.959999,31.180000,29.299999,29.969999,28.085552,18380500
2016-09-19,30.760000,33.410000,30.420000,32.540001,30.493958,16820000
2016-09-26,32.520000,35.000000,32.060001,34.650002,32.471287,19073800
2016-10-03,34.799999,35.750000,34.509998,35.360001,33.136642,13064200
2016-10-10,35.680000,36.160000,33.310001,33.990002,31.852785,14058800
2016-10-17,33.939999,35.160000,33.820000,34.959999,32.761791,18309500
